stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
121	mimmi_ch	mimmi_ch_FL_0_120	0.225	0.061	18.704	0.58	0.181	0.043	0.488	0.324	0.445	45.995	40.722	5.273	0.12
122	mimmi_ch	mimmi_ch_FL_0_121	0.225	0.061	18.704	0.586	0.182	0.042	0.488	0.324	0.446	45.995	40.854	5.141	0.121
123	mimmi_ch	mimmi_ch_FL_0_122	0.225	0.061	18.704	0.592	0.183	0.041	0.488	0.324	0.447	45.995	40.985	5.01	0.122
124	mimmi_ch	mimmi_ch_FL_0_123	0.225	0.061	18.704	0.597	0.184	0.04	0.488	0.324	0.448	45.995	41.116	4.88	0.123
125	mimmi_ch	mimmi_ch_FL_0_124	0.225	0.061	18.704	0.603	0.185	0.039	0.488	0.324	0.449	45.995	41.245	4.75	0.124
126	mimmi_ch	mimmi_ch_FL_0_125	0.225	0.061	18.704	0.609	0.186	0.038	0.488	0.324	0.45	45.995	41.375	4.62	0.125
127	mimmi_ch	mimmi_ch_FL_0_126	0.225	0.061	18.704	0.616	0.187	0.037	0.488	0.324	0.451	45.995	41.504	4.492	0.126
128	mimmi_ch	mimmi_ch_FL_0_127	0.225	0.061	18.704	0.622	0.188	0.036	0.488	0.324	0.452	45.995	41.632	4.363	0.127
129	mimmi_ch	mimmi_ch_FL_0_128	0.225	0.061	18.704	0.628	0.189	0.036	0.488	0.324	0.453	45.995	41.759	4.236	0.128
130	mimmi_ch	mimmi_ch_FL_0_129	0.225	0.061	18.704	0.635	0.19	0.035	0.488	0.324	0.454	45.995	41.887	4.109	0.129
131	mimmi_ch	mimmi_ch_FL_0_130	0.225	0.061	18.704	0.642	0.191	0.034	0.488	0.324	0.455	45.995	42.013	3.982	0.13
132	mimmi_ch	mimmi_ch_FL_0_131	0.225	0.061	18.704	0.648	0.192	0.033	0.488	0.324	0.456	45.995	42.139	3.856	0.131
