stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise	n2
131	nelli_ch	nelli_ch_rise_2_7	13.1123	161.3699	344.1556	2.7123	188.7392	10.4	0.4519
131	nelli_ch	nelli_ch_rise_2_6	13.1123	161.3699	344.1556	2.6123	187.6522	10.5	0.4519
131	nelli_ch	nelli_ch_rise_2_5	13.1123	161.3699	344.1556	2.5123	186.5714	10.6	0.4519
131	nelli_ch	nelli_ch_rise_2_4	13.1123	161.3699	344.1556	2.4123	185.4968	10.7	0.4519
131	nelli_ch	nelli_ch_rise_2_3	13.1123	161.3699	344.1556	2.3123	184.4284	10.8	0.4519
131	nelli_ch	nelli_ch_rise_2_2	13.1123	161.3699	344.1556	2.2123	183.3662	10.9	0.4519
131	nelli_ch	nelli_ch_rise_2_1	13.1123	161.3699	344.1556	2.1123	182.3101	11	0.4519
131	nelli_ch	nelli_ch_rise_2_0	13.1123	161.3699	344.1556	2.0123	181.2601	11.1	0.4519
131	nelli_ch	nelli_ch_rise_1_9	13.1123	161.3699	344.1556	1.9123	180.2161	11.2	0.4519
131	nelli_ch	nelli_ch_rise_1_8	13.1123	161.3699	344.1556	1.8123	179.1781	11.3	0.4519
131	nelli_ch	nelli_ch_rise_1_7	13.1123	161.3699	344.1556	1.7123	178.1461	11.4	0.4519
131	nelli_ch	nelli_ch_rise_1_6	13.1123	161.3699	344.1556	1.6123	177.1201	11.5	0.4519
131	nelli_ch	nelli_ch_rise_1_5	13.1123	161.3699	344.1556	1.5123	176.0999	11.6	0.4519
131	nelli_ch	nelli_ch_rise_1_4	13.1123	161.3699	344.1556	1.4123	175.0857	11.7	0.4519
131	nelli_ch	nelli_ch_rise_1_3	13.1123	161.3699	344.1556	1.3123	174.0773	11.8	0.4519
131	nelli_ch	nelli_ch_rise_1_2	13.1123	161.3699	344.1556	1.2123	173.0746	11.9	0.4519
131	nelli_ch	nelli_ch_rise_1_1	13.1123	161.3699	344.1556	1.1123	172.0778	12	0.4519
131	nelli_ch	nelli_ch_rise_1_0	13.1123	161.3699	344.1556	1.0123	171.0867	12.1	0.4519
131	nelli_ch	nelli_ch_rise_0_9	13.1123	161.3699	344.1556	0.9123	170.1013	12.2	0.4519
131	nelli_ch	nelli_ch_rise_0_8	13.1123	161.3699	344.1556	0.8123	169.1216	12.3	0.4519
131	nelli_ch	nelli_ch_rise_0_7	13.1123	161.3699	344.1556	0.7123	168.1475	12.4	0.4519
131	nelli_ch	nelli_ch_rise_0_6	13.1123	161.3699	344.1556	0.6123	167.1791	12.5	0.4519
131	nelli_ch	nelli_ch_rise_0_5	13.1123	161.3699	344.1556	0.5123	166.2162	12.6	0.4519
131	nelli_ch	nelli_ch_rise_0_4	13.1123	161.3699	344.1556	0.4123	165.2589	12.7	0.4519
131	nelli_ch	nelli_ch_rise_0_3	13.1123	161.3699	344.1556	0.3123	164.3071	12.8	0.4519
131	nelli_ch	nelli_ch_rise_0_2	13.1123	161.3699	344.1556	0.2123	163.3607	12.9	0.4519
131	nelli_ch	nelli_ch_rise_0_1	13.1123	161.3699	344.1556	0.1123	162.4198	13	0.4519
131	nelli_ch	nelli_ch_rise_0_01	13.1123	161.3699	344.1556	0.0123	161.4844	13.1	0.4519
