stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
461	mimmi_ch	mimmi_ch_FL_0_0256	0.2245	0.0607	18.7042	-1.2801	0.0862	0.1383	0.4882	0.3243	0.3522	45.9951	24.4868	21.5083	0.0256
462	mimmi_ch	mimmi_ch_FL_0_0253	0.2245	0.0607	18.7042	-1.285	0.0859	0.1386	0.4882	0.3243	0.3519	45.9951	24.4221	21.573	0.0253
463	mimmi_ch	mimmi_ch_FL_0_0250	0.2245	0.0607	18.7042	-1.2899	0.0856	0.1389	0.4882	0.3243	0.3516	45.9951	24.3573	21.6378	0.025
464	mimmi_ch	mimmi_ch_FL_0_0247	0.2245	0.0607	18.7042	-1.2949	0.0853	0.1392	0.4882	0.3243	0.3513	45.9951	24.2923	21.7028	0.0247
465	mimmi_ch	mimmi_ch_FL_0_0244	0.2245	0.0607	18.7042	-1.2998	0.085	0.1395	0.4882	0.3243	0.351	45.9951	24.2273	21.7678	0.0244
466	mimmi_ch	mimmi_ch_FL_0_0241	0.2245	0.0607	18.7042	-1.3048	0.0847	0.1398	0.4882	0.3243	0.3507	45.9951	24.1621	21.833	0.0241
467	mimmi_ch	mimmi_ch_FL_0_0238	0.2245	0.0607	18.7042	-1.3097	0.0844	0.1401	0.4882	0.3243	0.3504	45.9951	24.0969	21.8983	0.0238
468	mimmi_ch	mimmi_ch_FL_0_0235	0.2245	0.0607	18.7042	-1.3147	0.0841	0.1404	0.4882	0.3243	0.3501	45.9951	24.0315	21.9636	0.0235
469	mimmi_ch	mimmi_ch_FL_0_0232	0.2245	0.0607	18.7042	-1.3196	0.0838	0.1407	0.4882	0.3243	0.3498	45.9951	23.966	22.0291	0.0232
470	mimmi_ch	mimmi_ch_FL_0_0229	0.2245	0.0607	18.7042	-1.3246	0.0835	0.141	0.4882	0.3243	0.3495	45.9951	23.9004	22.0947	0.0229
471	mimmi_ch	mimmi_ch_FL_0_0226	0.2245	0.0607	18.7042	-1.3295	0.0832	0.1413	0.4882	0.3243	0.3492	45.9951	23.8347	22.1604	0.0226
472	mimmi_ch	mimmi_ch_FL_0_0223	0.2245	0.0607	18.7042	-1.3345	0.0829	0.1416	0.4882	0.3243	0.3489	45.9951	23.7688	22.2263	0.0223
473	mimmi_ch	mimmi_ch_FL_0_0220	0.2245	0.0607	18.7042	-1.3394	0.0826	0.1419	0.4882	0.3243	0.3486	45.9951	23.7029	22.2922	0.022
474	mimmi_ch	mimmi_ch_FL_0_0217	0.2245	0.0607	18.7042	-1.3444	0.0823	0.1422	0.4882	0.3243	0.3483	45.9951	23.6369	22.3583	0.0217
475	mimmi_ch	mimmi_ch_FL_0_0214	0.2245	0.0607	18.7042	-1.3493	0.082	0.1425	0.4882	0.3243	0.348	45.9951	23.5707	22.4244	0.0214
476	mimmi_ch	mimmi_ch_FL_0_0211	0.2245	0.0607	18.7042	-1.3542	0.0817	0.1428	0.4882	0.3243	0.3477	45.9951	23.5044	22.4907	0.0211
477	mimmi_ch	mimmi_ch_FL_0_0208	0.2245	0.0607	18.7042	-1.3592	0.0814	0.1431	0.4882	0.3243	0.3474	45.9951	23.438	22.5571	0.0208
478	mimmi_ch	mimmi_ch_FL_0_0205	0.2245	0.0607	18.7042	-1.3641	0.0811	0.1434	0.4882	0.3243	0.3472	45.9951	23.3715	22.6236	0.0205
479	mimmi_ch	mimmi_ch_FL_0_0202	0.2245	0.0607	18.7042	-1.3691	0.0808	0.1437	0.4882	0.3243	0.3469	45.9951	23.3049	22.6902	0.0202
480	mimmi_ch	mimmi_ch_FL_0_0199	0.2245	0.0607	18.7042	-1.374	0.0805	0.144	0.4882	0.3243	0.3466	45.9951	23.2382	22.7569	0.0199
481	mimmi_ch	mimmi_ch_FL_0_0196	0.2245	0.0607	18.7042	-1.379	0.0802	0.1443	0.4882	0.3243	0.3463	45.9951	23.1714	22.8237	0.0196
482	mimmi_ch	mimmi_ch_FL_0_0193	0.2245	0.0607	18.7042	-1.3839	0.0799	0.1446	0.4882	0.3243	0.346	45.9951	23.1044	22.8907	0.0193
483	mimmi_ch	mimmi_ch_FL_0_0190	0.2245	0.0607	18.7042	-1.3889	0.0796	0.1449	0.4882	0.3243	0.3457	45.9951	23.0374	22.9578	0.019
484	mimmi_ch	mimmi_ch_FL_0_0187	0.2245	0.0607	18.7042	-1.3938	0.0793	0.1452	0.4882	0.3243	0.3454	45.9951	22.9702	23.0249	0.0187
485	mimmi_ch	mimmi_ch_FL_0_0184	0.2245	0.0607	18.7042	-1.3988	0.079	0.1455	0.4882	0.3243	0.3451	45.9951	22.9029	23.0922	0.0184
486	mimmi_ch	mimmi_ch_FL_0_0181	0.2245	0.0607	18.7042	-1.4037	0.0787	0.1458	0.4882	0.3243	0.3448	45.9951	22.8355	23.1596	0.0181
487	mimmi_ch	mimmi_ch_FL_0_0178	0.2245	0.0607	18.7042	-1.4086	0.0784	0.1461	0.4882	0.3243	0.3445	45.9951	22.7679	23.2272	0.0178
488	mimmi_ch	mimmi_ch_FL_0_0175	0.2245	0.0607	18.7042	-1.4136	0.0781	0.1464	0.4882	0.3243	0.3442	45.9951	22.7003	23.2948	0.0175
489	mimmi_ch	mimmi_ch_FL_0_0172	0.2245	0.0607	18.7042	-1.4185	0.0778	0.1467	0.4882	0.3243	0.3439	45.9951	22.6325	23.3626	0.0172
490	mimmi_ch	mimmi_ch_FL_0_0169	0.2245	0.0607	18.7042	-1.4235	0.0775	0.147	0.4882	0.3243	0.3436	45.9951	22.5647	23.4304	0.0169
491	mimmi_ch	mimmi_ch_FL_0_0166	0.2245	0.0607	18.7042	-1.4284	0.0772	0.1473	0.4882	0.3243	0.3433	45.9951	22.4967	23.4984	0.0166
492	mimmi_ch	mimmi_ch_FL_0_0163	0.2245	0.0607	18.7042	-1.4334	0.0769	0.1476	0.4882	0.3243	0.343	45.9951	22.4286	23.5665	0.0163
493	mimmi_ch	mimmi_ch_FL_0_0160	0.2245	0.0607	18.7042	-1.4383	0.0766	0.1479	0.4882	0.3243	0.3427	45.9951	22.3603	23.6348	0.016
494	mimmi_ch	mimmi_ch_FL_0_0157	0.2245	0.0607	18.7042	-1.4433	0.0763	0.1482	0.4882	0.3243	0.3424	45.9951	22.292	23.7031	0.0157
495	mimmi_ch	mimmi_ch_FL_0_0154	0.2245	0.0607	18.7042	-1.4482	0.076	0.1485	0.4882	0.3243	0.3421	45.9951	22.2235	23.7716	0.0154
496	mimmi_ch	mimmi_ch_FL_0_0151	0.2245	0.0607	18.7042	-1.4532	0.0757	0.1488	0.4882	0.3243	0.3418	45.9951	22.155	23.8401	0.0151
497	mimmi_ch	mimmi_ch_FL_0_0148	0.2245	0.0607	18.7042	-1.4581	0.0754	0.1491	0.4882	0.3243	0.3415	45.9951	22.0863	23.9088	0.0148
498	mimmi_ch	mimmi_ch_FL_0_0145	0.2245	0.0607	18.7042	-1.4631	0.0751	0.1494	0.4882	0.3243	0.3412	45.9951	22.0174	23.9777	0.0145
499	mimmi_ch	mimmi_ch_FL_0_0142	0.2245	0.0607	18.7042	-1.468	0.0748	0.1497	0.4882	0.3243	0.341	45.9951	21.9485	24.0466	0.0142
500	mimmi_ch	mimmi_ch_FL_0_0139	0.2245	0.0607	18.7042	-1.4729	0.0745	0.15	0.4882	0.3243	0.3407	45.9951	21.8795	24.1156	0.0139
501	mimmi_ch	mimmi_ch_FL_0_0136	0.2245	0.0607	18.7042	-1.4779	0.0742	0.1503	0.4882	0.3243	0.3404	45.9951	21.8103	24.1848	0.0136
502	mimmi_ch	mimmi_ch_FL_0_0133	0.2245	0.0607	18.7042	-1.4828	0.0739	0.1506	0.4882	0.3243	0.3401	45.9951	21.741	24.2541	0.0133
503	mimmi_ch	mimmi_ch_FL_0_0130	0.2245	0.0607	18.7042	-1.4878	0.0736	0.1509	0.4882	0.3243	0.3398	45.9951	21.6716	24.3235	0.013
504	mimmi_ch	mimmi_ch_FL_0_0127	0.2245	0.0607	18.7042	-1.4927	0.0733	0.1512	0.4882	0.3243	0.3395	45.9951	21.602	24.3931	0.0127
505	mimmi_ch	mimmi_ch_FL_0_0124	0.2245	0.0607	18.7042	-1.4977	0.073	0.1515	0.4882	0.3243	0.3392	45.9951	21.5324	24.4627	0.0124
506	mimmi_ch	mimmi_ch_FL_0_0121	0.2245	0.0607	18.7042	-1.5026	0.0727	0.1518	0.4882	0.3243	0.3389	45.9951	21.4626	24.5325	0.0121
507	mimmi_ch	mimmi_ch_FL_0_0118	0.2245	0.0607	18.7042	-1.5076	0.0724	0.1521	0.4882	0.3243	0.3386	45.9951	21.3927	24.6024	0.0118
508	mimmi_ch	mimmi_ch_FL_0_0115	0.2245	0.0607	18.7042	-1.5125	0.0721	0.1524	0.4882	0.3243	0.3383	45.9951	21.3227	24.6724	0.0115
509	mimmi_ch	mimmi_ch_FL_0_0112	0.2245	0.0607	18.7042	-1.5175	0.0718	0.1527	0.4882	0.3243	0.338	45.9951	21.2525	24.7426	0.0112
510	mimmi_ch	mimmi_ch_FL_0_0109	0.2245	0.0607	18.7042	-1.5224	0.0715	0.153	0.4882	0.3243	0.3377	45.9951	21.1823	24.8128	0.0109
511	mimmi_ch	mimmi_ch_FL_0_0106	0.2245	0.0607	18.7042	-1.5274	0.0712	0.1533	0.4882	0.3243	0.3374	45.9951	21.1119	24.8832	0.0106
512	mimmi_ch	mimmi_ch_FL_0_0103	0.2245	0.0607	18.7042	-1.5323	0.0709	0.1536	0.4882	0.3243	0.3371	45.9951	21.0414	24.9537	0.0103
513	mimmi_ch	mimmi_ch_FL_0_0100	0.2245	0.0607	18.7042	-1.5372	0.0706	0.1539	0.4882	0.3243	0.3368	45.9951	20.9707	25.0244	0.01
514	mimmi_ch	mimmi_ch_FL_0_0097	0.2245	0.0607	18.7042	-1.5422	0.0703	0.1542	0.4882	0.3243	0.3365	45.9951	20.9	25.0951	0.0097
515	mimmi_ch	mimmi_ch_FL_0_0094	0.2245	0.0607	18.7042	-1.5471	0.07	0.1545	0.4882	0.3243	0.3362	45.9951	20.8291	25.166	0.0094
516	mimmi_ch	mimmi_ch_FL_0_0091	0.2245	0.0607	18.7042	-1.5521	0.0697	0.1548	0.4882	0.3243	0.3359	45.9951	20.7581	25.237	0.0091
517	mimmi_ch	mimmi_ch_FL_0_0088	0.2245	0.0607	18.7042	-1.557	0.0694	0.1551	0.4882	0.3243	0.3356	45.9951	20.687	25.3081	0.0088
518	mimmi_ch	mimmi_ch_FL_0_0085	0.2245	0.0607	18.7042	-1.562	0.0691	0.1554	0.4882	0.3243	0.3353	45.9951	20.6157	25.3794	0.0085
519	mimmi_ch	mimmi_ch_FL_0_0082	0.2245	0.0607	18.7042	-1.5669	0.0688	0.1557	0.4882	0.3243	0.3351	45.9951	20.5443	25.4508	0.0082
520	mimmi_ch	mimmi_ch_FL_0_0079	0.2245	0.0607	18.7042	-1.5719	0.0685	0.156	0.4882	0.3243	0.3348	45.9951	20.4728	25.5223	0.0079
521	mimmi_ch	mimmi_ch_FL_0_0076	0.2245	0.0607	18.7042	-1.5768	0.0682	0.1563	0.4882	0.3243	0.3345	45.9951	20.4012	25.5939	0.0076
522	mimmi_ch	mimmi_ch_FL_0_0073	0.2245	0.0607	18.7042	-1.5818	0.0679	0.1566	0.4882	0.3243	0.3342	45.9951	20.3294	25.6657	0.0073
523	mimmi_ch	mimmi_ch_FL_0_0070	0.2245	0.0607	18.7042	-1.5867	0.0676	0.1569	0.4882	0.3243	0.3339	45.9951	20.2575	25.7376	0.007
524	mimmi_ch	mimmi_ch_FL_0_0067	0.2245	0.0607	18.7042	-1.5916	0.0673	0.1572	0.4882	0.3243	0.3336	45.9951	20.1855	25.8096	0.0067
525	mimmi_ch	mimmi_ch_FL_0_0064	0.2245	0.0607	18.7042	-1.5966	0.067	0.1575	0.4882	0.3243	0.3333	45.9951	20.1134	25.8817	0.0064
526	mimmi_ch	mimmi_ch_FL_0_0061	0.2245	0.0607	18.7042	-1.6015	0.0667	0.1578	0.4882	0.3243	0.333	45.9951	20.0411	25.954	0.0061
527	mimmi_ch	mimmi_ch_FL_0_0058	0.2245	0.0607	18.7042	-1.6065	0.0664	0.1581	0.4882	0.3243	0.3327	45.9951	19.9687	26.0264	0.0058
528	mimmi_ch	mimmi_ch_FL_0_0055	0.2245	0.0607	18.7042	-1.6114	0.0661	0.1584	0.4882	0.3243	0.3324	45.9951	19.8962	26.0989	0.0055
529	mimmi_ch	mimmi_ch_FL_0_0052	0.2245	0.0607	18.7042	-1.6164	0.0658	0.1587	0.4882	0.3243	0.3321	45.9951	19.8235	26.1716	0.0052
530	mimmi_ch	mimmi_ch_FL_0_0049	0.2245	0.0607	18.7042	-1.6213	0.0655	0.159	0.4882	0.3243	0.3318	45.9951	19.7507	26.2444	0.0049
531	mimmi_ch	mimmi_ch_FL_0_0046	0.2245	0.0607	18.7042	-1.6263	0.0652	0.1593	0.4882	0.3243	0.3315	45.9951	19.6778	26.3173	0.0046
532	mimmi_ch	mimmi_ch_FL_0_0043	0.2245	0.0607	18.7042	-1.6312	0.0649	0.1596	0.4882	0.3243	0.3312	45.9951	19.6048	26.3904	0.0043
