stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
193	lilli_10	lilli_10_FL_0_192	0.244	0.043	19.9	0.827	0.235	0.009	0.418	0.217	0.409	58.425	57.515	0.911	0.192
194	lilli_10	lilli_10_FL_0_193	0.244	0.043	19.9	0.843	0.236	0.008	0.418	0.217	0.41	58.425	57.617	0.808	0.193
195	lilli_10	lilli_10_FL_0_194	0.244	0.043	19.9	0.86	0.237	0.007	0.418	0.217	0.411	58.425	57.719	0.706	0.194
196	lilli_10	lilli_10_FL_0_195	0.244	0.043	19.9	0.877	0.238	0.006	0.418	0.217	0.412	58.425	57.821	0.604	0.195
197	lilli_10	lilli_10_FL_0_196	0.244	0.043	19.9	0.895	0.239	0.005	0.418	0.217	0.413	58.425	57.922	0.503	0.196
198	lilli_10	lilli_10_FL_0_197	0.244	0.043	19.9	0.914	0.24	0.004	0.418	0.217	0.414	58.425	58.023	0.403	0.197
199	lilli_10	lilli_10_FL_0_198	0.244	0.043	19.9	0.934	0.241	0.003	0.418	0.217	0.415	58.425	58.123	0.302	0.198
200	lilli_10	lilli_10_FL_0_199	0.244	0.043	19.9	0.955	0.242	0.002	0.418	0.217	0.416	58.425	58.223	0.203	0.199
201	lilli_10	lilli_10_FL_0_200	0.244	0.043	19.9	0.976	0.243	0.001	0.418	0.217	0.417	58.425	58.322	0.104	0.2
202	lilli_10	lilli_10_FL_0_201	0.244	0.043	19.9	0.999	0.244	5e-005	0.418	0.217	0.418	58.425	58.42	0.005	0.201
